action,GO,URL,due:,duration,gamification,last completed,link journal entry,link question,media,origin,purpose,schedule,sessions,set due date,set recurring,status,who am I?
📣 finding your assertive voice,,,,< 8 min,,"March 11, 2025",,,Screenshot_2024-09-25_at_17.50.25.png,template creator,communicate better,,,,monthly,up next,my values (https://www.notion.so/21b9ed6c1f7c8151a8d4c4bc1101d92e?pvs=21)
write a journal entry,,,,< 8 min,,"October 25, 2024",,,Screenshot_2024-09-25_at_17.36.42.png,template creator,Understand Yourself,,,,daily,up next,my thoughts (https://www.notion.so/21b9ed6c1f7c818dba6df221c6bac0c9?pvs=21)
🧗your personal mission statement,,,,15+ min,,"February 2, 2022",,,Screenshot_2024-09-25_at_17.41.29.png,template creator,personal development,,,,,up next,my values (https://www.notion.so/21b9ed6c1f7c8151a8d4c4bc1101d92e?pvs=21)
track your mood,,,,< 8 min,,"April 10, 2025",,,Screenshot_2024-09-25_at_17.36.53.png,template creator,Understand Yourself,,,,daily,up next,my emotional patterns (https://www.notion.so/21b9ed6c1f7c8189816ee07c6506f732?pvs=21)
mental health checkup scales,,,,15+ min,,"March 11, 2025",,,Screenshot_2024-09-25_at_17.34.22.png,template creator,Understand Yourself,,,,quarterly,up next,
tackling anxious thoughts,,,,8 - 15 min,,"September 27, 2024",,,Screenshot_2024-09-25_at_17.46.48.png,template creator,address challenges,,,,,up next,my thoughts (https://www.notion.so/21b9ed6c1f7c818dba6df221c6bac0c9?pvs=21)
🍂 letting go w/ radical acceptance,,,,< 8 min,,"September 27, 2024",,Untitled (https://www.notion.so/fff1678893128184bd9fe19f0bdb8fa0?pvs=21),Screenshot_2024-09-25_at_17.48.35.png,template creator,relaxation,,,,weekly,up next,my coping skills (https://www.notion.so/21b9ed6c1f7c8117be62c5a184af8c90?pvs=21)
watch a motivational video,,,,,,"February 2, 2022",,,Screenshot_2024-10-20_at_00.46.20.png,,personal development,,,,daily,up next,
🕵️ discovering the true you,,,,15+ min,,"September 27, 2024",,,Screenshot_2024-09-25_at_17.35.29.png,template creator,Understand Yourself,,,,,up next,My Beliefs (https://www.notion.so/21b9ed6c1f7c813b8206d23c09975c4b?pvs=21)
"chat 15 minutes with AI therapist ",,,,,,"February 2, 2022",,,Screenshot_2024-10-20_at_00.45.33.png,,address challenges,,,,weekly,up next,
