name,children,deity?,img,link,parents,relationship,relationship notes,relationship quality,specific relation
✧˚.♡ Lady Aphrodite ♡.˚✧,"harmonia (harmonia%202269ed6c1f7c80ca8340c52f454228d3.md), rhodos (rhodos%202269ed6c1f7c8042bb7bf19ce30caccb.md), beroe (beroe%202269ed6c1f7c80ca8f1fc0e1e7f04d1f.md), hermaphroditus (hermaphroditus%202269ed6c1f7c80dbb128d2a25229839c.md), eros (eros%202269ed6c1f7c806086e6c44b9206244a.md), deimos (deimos%202269ed6c1f7c80909906c1fc8aa606d8.md), phobos (phobos%202269ed6c1f7c800f9aa3e7fe53314ebb.md), golgos (golgos%202269ed6c1f7c8099904dda8961aa3ae3.md), himeros (himeros%202269ed6c1f7c80168fa5ea86983d955a.md), anteros (anteros%202269ed6c1f7c80b5ae4bd31980da7473.md), pothos (pothos%202269ed6c1f7c8009af83d77fd02a5031.md), eryx (eryx%202269ed6c1f7c80119bfbc457a047cd5e.md), aeneas (aeneas%202269ed6c1f7c8045864dd54a6d215aaa.md), the horae (the%20horae%202269ed6c1f7c808b9c5afe8f206afc8a.md), priapus (priapus%202269ed6c1f7c807bae5bc6786e3c9173.md)",goddess,thumbnail_banner(56).png,https://www.notion.so/houseofmates/Lady-Aphrodite-2189ed6c1f7c810f8a9cdce60b690b28?source=copy_link,"dione (dione%202269ed6c1f7c803081d0d89453f88a99.md), uranus (uranus%202269ed6c1f7c80a0bd02fd0621d21571.md), zeus (zeus%202269ed6c1f7c80acba7dd7f6392db66a.md)",self,< 3,positive,Herself <3
uranus,✧˚.♡ Lady Aphrodite ♡.˚✧ (%E2%9C%A7%CB%9A%20%E2%99%A1%20Lady%20Aphrodite%20%E2%99%A1%20%CB%9A%E2%9C%A7%202189ed6c1f7c810f8a9cdce60b690b28.md),god,thumbnail_banner(60).png,https://www.greekmythology.com/Other_Gods/Uranus/uranus.html,,parent,was born from the seafoam created when uranus was cast into the ocean,neutral,biological dad
zeus,✧˚.♡ Lady Aphrodite ♡.˚✧ (%E2%9C%A7%CB%9A%20%E2%99%A1%20Lady%20Aphrodite%20%E2%99%A1%20%CB%9A%E2%9C%A7%202189ed6c1f7c810f8a9cdce60b690b28.md),god,thumbnail_banner(61).png,https://mythologysource.com/zeus-and-aphrodite/#post-3105-_dbpz44i1s1ty,,family,considered lady aphrodite's father-in-law through her marriage to hephaestus,neutral,father-in-law
dione,✧˚.♡ Lady Aphrodite ♡.˚✧ (%E2%9C%A7%CB%9A%20%E2%99%A1%20Lady%20Aphrodite%20%E2%99%A1%20%CB%9A%E2%9C%A7%202189ed6c1f7c810f8a9cdce60b690b28.md),goddess,thumbnail_banner(59).png,https://www.theoi.com/Titan/TitanisDione.html#main,,parent,some myths refer to dione as lady aphrodite's biological mother,neutral,mother (in some myths)
eros,,god,thumbnail_banner(77).png,https://worldhistoryedu.com/eros-and-aphrodite/#content,✧˚.♡ Lady Aphrodite ♡.˚✧ (%E2%9C%A7%CB%9A%20%E2%99%A1%20Lady%20Aphrodite%20%E2%99%A1%20%CB%9A%E2%9C%A7%202189ed6c1f7c810f8a9cdce60b690b28.md),son,god of love; positive relationship,positive,son
hermaphroditus,,god,thumbnail_banner(76).png,https://worldhistoryedu.com/ancient-greek-god-hermaphroditus/#caption-attachment-9184,✧˚.♡ Lady Aphrodite ♡.˚✧ (%E2%9C%A7%CB%9A%20%E2%99%A1%20Lady%20Aphrodite%20%E2%99%A1%20%CB%9A%E2%9C%A7%202189ed6c1f7c810f8a9cdce60b690b28.md),child,lady aphrodite's intersex child with hermes; positive relationship,positive,child
harmonia,,goddess,thumbnail_banner(72).png,https://oldworldgods.com/greeks/harmonia-greek-goddess-of-harmony/,✧˚.♡ Lady Aphrodite ♡.˚✧ (%E2%9C%A7%CB%9A%20%E2%99%A1%20Lady%20Aphrodite%20%E2%99%A1%20%CB%9A%E2%9C%A7%202189ed6c1f7c810f8a9cdce60b690b28.md),daughter,very peaceful and positive,positive,daughter
ares,"deimos (deimos%202269ed6c1f7c80909906c1fc8aa606d8.md), phobos (phobos%202269ed6c1f7c800f9aa3e7fe53314ebb.md)",god,thumbnail_banner(62).png,https://exploringyourmind.com/the-myth-of-aphrodite-and-ares/#the-myth-of-aphrodite-and-ares,,lover,complicated passionate relationship full of desire,complicated,lover and father of children
hephaestus,,god,thumbnail_banner(71).png,https://oldworldgods.com/greeks/hephaestus-and-aphrodite-story/#Aphrodites_Affairs_with_Gods_and_Mortals,,husband,very tense and difficult unasked for marriage; unfaithful,tense,husband
hera,,goddess,thumbnail_banner(89).png,https://enviroliteracy.org/animals/why-does-hera-hate-aphrodite/#post-87346,,rival,hera's jealous that aphrodite was crowned title of the fairest goddess during the judgement of paris,negative,stepmother-in-law
